FELH650
Integration time [ms]:   2.000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1601059U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 370.79;   28.661;   -6.949;   75.710;43.07973
 371.38;   23.415;   -8.284;   77.408;36.99206
 371.98;   34.419;   -5.213;   77.709;47.79449
 372.57;   17.640;   -3.552;   69.554;28.98788
 373.17;   18.091;  -11.485;   81.892;31.67388
 373.76;   29.531;  -10.387;   77.880;45.22345
 374.36;   25.514;   -6.476;   90.870;32.86252
 374.95;   21.215;  -10.219;   80.365;34.70158
 375.55;   19.865;   -7.482;   80.899;30.94213
 376.14;   10.463;   -4.619;   82.454;17.32100
 376.74;   10.074;   -8.750;   84.330;20.22287
 377.33;   21.322;   -5.412;   91.238;27.66097
 377.93;   14.806;   -8.150;   89.044;23.61905
 378.52;   22.166;   -4.014;   87.102;28.73342
 379.11;   23.821;   -2.412;   95.932;26.67497
 379.71;   10.859;   -8.284;   92.294;19.03302
 380.30;   28.173;  -12.973;  110.969;33.19809
 380.90;    2.002;   -6.290;   90.333; 8.58144
 381.49;   15.332;   -0.714;  100.629;15.83352
 382.09;    8.229;   -2.852;  109.714; 9.84359
 382.68;   22.088;  -10.742;  117.654;25.56957
 383.28;   14.893;    0.152;  104.851;14.07908
 383.87;   15.918;   -2.545;  120.316;15.02774
 384.46;   11.219;    1.749;  116.110; 8.28040
 385.06;    9.051;   -6.009;  122.006;11.76488
 385.65;    6.669;  -10.587;  114.642;13.77988
 386.25;   20.379;   -1.072;  144.727;14.71281
 386.84;    6.621;  -11.880;  131.489;12.90474
 387.44;    3.209;  -10.216;  143.206; 8.75049
 388.03;    5.288;   -9.380;  139.322; 9.86405
 388.62;   16.531;   -7.708;  163.868;14.12771
 389.22;    7.365;   -6.785;  154.843; 8.75443
 389.81;   14.245;   -4.474;  167.984;10.85454
 390.41;   14.559;   -0.312;  168.854; 8.79068
 391.00;   11.064;   -5.212;  172.362; 9.16569
 391.59;    6.546;   -7.577;  177.234; 7.64204
 392.19;   14.440;   -9.476;  181.246;12.53947
 392.78;    1.856;   -3.981;  193.935; 2.94948
 393.38;   13.082;   -3.646;  197.873; 8.30104
 393.97;    7.410;    3.619;  192.835; 2.00341
 394.56;    7.237;   -6.379;  207.627; 6.36220
 395.16;   -3.231;   -1.788;  199.195;-0.71787
 395.75;   12.668;   -2.470;  224.543; 6.66806
 396.34;    9.876;   -4.178;  216.352; 6.37267
 396.94;    3.509;   -9.515;  221.266; 5.64334
 397.53;    3.451;   -1.416;  233.430; 2.07231
 398.13;    7.851;   -8.045;  249.029; 6.18338
 398.72;   -5.057;   -1.083;  244.492;-1.61830
 399.31;    5.202;   -1.978;  271.134; 2.62898
 399.91;    0.639;   -6.980;  273.107; 2.71996
 400.50;   10.508;   -5.441;  290.928; 5.38126
 401.09;   -0.048;   -3.281;  280.180; 1.14056
 401.69;   -1.863;  -15.045;  303.494; 4.13831
 402.28;   -2.162;   -5.011;  307.163; 0.91267
 402.87;   -8.218;   -5.115;  315.717;-0.96708
 403.47;    3.328;   -8.709;  340.019; 3.45161
 404.06;    0.095;   -6.178;  348.483; 1.76879
 404.65;   -0.408;   -5.079;  356.154; 1.29302
 405.25;    1.631;   -6.508;  378.868; 2.11217
 405.84;    5.247;  -12.745;  378.027; 4.60425
 406.43;   -2.335;   -5.147;  389.742; 0.71211
 407.03;    6.341;  -10.741;  420.962; 3.95683
 407.62;    2.999;   -9.076;  440.941; 2.68313
 408.21;   -1.121;   -5.577;  449.667; 0.97897
 408.81;   11.079;   -6.703;  480.050; 3.65319
 409.40;   11.198;   -3.508;  505.135; 2.89132
 409.99;    1.191;   -5.476;  524.403; 1.25821
 410.58;    2.134;   -4.441;  550.030; 1.18591
 411.18;   -0.577;    0.259;  563.390;-0.14842
 411.77;   -2.861;  -10.075;  582.259; 1.21802
 412.36;   -9.815;   -6.974;  599.628;-0.46845
 412.96;    1.356;  -10.441;  616.617; 1.88119
 413.55;    2.682;   -9.638;  633.156; 1.91666
 414.14;   -1.240;   -4.675;  637.159; 0.53513
 414.73;    1.991;   -9.873;  690.193; 1.69477
 415.33;    1.520;   -5.475;  680.041; 1.02032
 415.92;    6.538;   -7.837;  717.798; 1.98104
 416.51;   -5.454;   -3.775;  723.557;-0.23086
 417.11;  -10.481;   -4.574;  738.068;-0.79539
 417.70;   -4.553;   -4.142;  753.117;-0.05419
 418.29;   -3.954;   -2.877;  768.747;-0.13962
 418.88;   -6.232;   -6.137;  800.916;-0.01172
 419.48;   -6.597;   -4.471;  833.596;-0.25358
 420.07;   -9.982;   -5.081;  812.506;-0.59953
 420.66;   -7.779;   -0.138;  861.534;-0.88677
 421.25;   -2.626;   -2.874;  875.642; 0.02820
 421.85;    0.792;   -9.435;  951.459; 1.06432
 422.44;   -6.688;  -11.403;  931.916; 0.49987
 423.03;   -1.876;   -6.173;  942.506; 0.45296
 423.62;   -2.700;   -6.772;  978.447; 0.41328
 424.21;   -3.554;   -7.370; 1014.356; 0.37356
 424.81;   -6.381;   -1.039; 1021.911;-0.52222
 425.40;    1.086;   -7.203; 1107.601; 0.74353
 425.99;   -5.851;   -0.746; 1084.240;-0.47053
 426.58;   -7.942;   -8.637; 1185.516; 0.05824
 427.18;   -7.300;   -7.212; 1197.545;-0.00727
 427.77;   -7.614;   -6.105; 1220.325;-0.12307
 428.36;   -9.043;   -9.011; 1259.354;-0.00257
 428.95;    4.662;  -11.502; 1296.428; 1.23586
 429.54;   -5.260;   -3.604; 1343.611;-0.12288
 430.14;  -12.094;   -9.773; 1356.762;-0.16990
 430.73;  -10.406;   -2.673; 1373.055;-0.56211
 431.32;   -2.908;   -7.369; 1483.625; 0.29915
 431.91;  -14.556;   -3.743; 1419.288;-0.75984
 432.50;   -2.346;   -3.468; 1495.503; 0.07489
 433.10;   -1.200;   -5.033; 1504.493; 0.25395
 433.69;  -14.212;   -2.207; 1526.064;-0.78550
 434.28;  -10.135;    0.091; 1511.821;-0.67645
 434.87;   -4.039;   -4.704; 1650.232; 0.04019
 435.46;   -9.935;   -4.104; 1602.887;-0.36281
 436.05;  -13.012;   -6.771; 1674.187;-0.37124
 436.65;  -11.555;   -2.638; 1700.587;-0.52353
 437.24;   -0.345;   -7.830; 1684.636; 0.44225
 437.83;    2.125;   -6.964; 1689.418; 0.53573
 438.42;   -5.639;  -12.699; 1736.544; 0.40362
 439.01;   -5.040;  -10.805; 1716.929; 0.33367
 439.60;   -1.162;   -8.132; 1740.577; 0.39859
 440.19;  -13.957;   -8.173; 1780.584;-0.32335
 440.79;   -4.865;   -9.299; 1865.148; 0.23658
 441.38;    0.614;  -10.602; 1874.105; 0.59512
 441.97;   -3.849;   -3.235; 1857.821;-0.03299
 442.56;   -6.680;   -8.008; 1891.528; 0.06994
 443.15;  -10.278;   -6.574; 1906.497;-0.19364
 443.74;   -6.654;   -5.606; 1959.213;-0.05335
 444.33;  -10.058;   -8.639; 1970.944;-0.07166
 444.93;   -9.851;   -2.798; 1993.264;-0.35332
 445.52;   -8.981;   -9.203; 2014.747; 0.01094
 446.11;  -17.250;  -13.437; 2073.438;-0.18274
 446.70;   -3.447;   -5.065; 2124.633; 0.07597
 447.29;   -1.941;  -10.597; 2121.658; 0.40596
 447.88;  -11.608;   -6.738; 2228.969;-0.21785
 448.47;   -7.332;   -7.132; 2228.062;-0.00893
 449.06;   -6.719;   -6.402; 2310.825;-0.01365
 449.65;    1.909;   -7.158; 2352.815; 0.38419
 450.24;   -0.520;   -4.533; 2473.942; 0.16192
 450.84;   -7.137;   -1.105; 2458.258;-0.24530
 451.43;  -11.434;   -5.269; 2468.283;-0.24923
 452.02;    1.150;  -13.859; 2569.559; 0.58097
 452.61;  -10.317;   -6.035; 2548.581;-0.16762
 453.20;   -5.027;  -11.368; 2660.481; 0.23734
 453.79;   -4.765;   -5.699; 2803.209; 0.03322
 454.38;  -11.163;  -11.036; 2854.105;-0.00443
 454.97;   -0.391;   -6.727; 2927.845; 0.21593
 455.56;   -9.043;  -11.337; 2899.923; 0.07878
 456.15;    1.719;   -9.165; 3068.727; 0.35360
 456.74;  -13.250;   -4.339; 2987.849;-0.29781
 457.33;   -8.109;   -6.566; 3144.908;-0.04898
 457.92;   -9.877;  -17.132; 3138.915; 0.22986
 458.51;   -2.438;   -1.997; 3249.387;-0.01358
 459.10;   -8.454;   -2.232; 3194.569;-0.19462
 459.69;   -1.093;   -5.462; 3314.676; 0.13161
 460.28;  -20.928;   -8.037; 3323.818;-0.38690
 460.88;   -4.322;   -9.162; 3429.998; 0.14075
 461.47;  -19.532;   -6.906; 3489.453;-0.36114
 462.06;   -8.259;   -8.734; 3537.484; 0.01340
 462.65;    3.686;   -4.060; 3691.426; 0.20960
 463.24;   -7.812;   -8.599; 3734.560; 0.02102
 463.83;   -0.077;   -2.201; 3670.512; 0.05784
 464.42;   -0.311;   -3.693; 3794.855; 0.08902
 465.01;   -9.370;  -10.569; 3848.134; 0.03107
 465.60;  -13.267;   -8.936; 3958.850;-0.10916
 466.19;  -17.628;   -5.204; 4110.552;-0.30187
 466.78;   -8.142;   -7.961; 4101.741;-0.00440
 467.37;   -5.908;  -14.097; 4203.338; 0.19417
 467.96;   -5.917;   -8.632; 4296.531; 0.06305
 468.55;    2.878;  -10.922; 4331.234; 0.31781
 469.14;    0.095;   -6.061; 4434.163; 0.13866
 469.73;   -1.172;   -6.028; 4612.176; 0.10515
 470.32;    2.610;   -7.359; 4690.195; 0.21223
 470.91;   -5.445;   -9.395; 4824.932; 0.08172
 471.50;   -8.672;   -1.999; 4937.557;-0.13511
 472.09;   -4.412;   -3.164; 5088.389;-0.02450
 472.67;   -0.774;  -10.395; 5190.534; 0.18499
 473.26;   -3.384;   -6.396; 5362.154; 0.05610
