
Integration time [ms]:   2.000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1601059U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 337.42;   -0.419;  -10.290;   77.330;11.26573
 338.02;   -2.191;  -12.488;   66.085;13.10552
 338.62;   -6.189;   -8.422;   93.375; 2.19399
 339.21;  -13.161;  -10.453;   88.389;-2.74004
 339.81;   -2.355;   -5.856;   96.375; 3.42449
 340.41;  -11.796;  -11.718;   85.850;-0.07999
 341.00;   -7.261;  -15.686;   95.184; 7.59914
 341.60;   -9.792;   -7.387;   87.593;-2.53229
 342.20;   -4.299;  -10.917;   72.494; 7.93385
 342.79;   -0.497;   -4.018;   67.966; 4.89217
 343.39;   -1.956;  -10.855;   83.024; 9.47907
 343.98;   -0.995;   -4.586;   53.588; 6.17277
 344.58;    0.240;   -9.453;   54.366;15.18837
 345.18;   -2.259;  -13.254;   50.663;17.20166
 345.77;   -4.623;  -11.122;   52.692;10.18412
 346.37;   -3.657;  -10.088;   54.287; 9.98940
 346.97;   -2.522;  -12.922;   58.641;14.53281
 347.56;   -5.057;   -7.355;   62.629; 3.28243
 348.16;   -2.820;   -7.257;   83.893; 4.86781
 348.75;   -5.656;  -11.855;   82.746; 6.55297
 349.35;   -0.124;   -5.888;   95.048; 5.70992
 349.95;   -3.430;   -6.319;   84.106; 3.19482
 350.54;   -0.796;   -5.852;   79.010; 5.95728
 351.14;   -8.929;    0.514;   62.428;-15.25246
 351.73;   -4.128;   -5.852;   51.894; 2.98563
 352.33;   -8.928;   -4.253;   49.550;-8.69034
 352.93;   -6.962;  -15.919;   70.965;10.30950
 353.52;   -0.397;  -12.785;   83.328;12.88935
 354.12;   -2.558;   -4.388;   91.846; 1.90089
 354.71;   -5.827;   -5.553;   75.794;-0.33717
 355.31;    3.177;  -10.355;   75.420;15.77567
 355.90;    3.640;   -9.420;   58.091;19.34504
 356.50;   -6.896;   -8.752;   69.106; 2.38428
 357.10;   -1.162;   -5.686;   52.006; 7.84137
 357.69;   -4.322;  -10.322;   60.957; 8.41726
 358.29;   -4.025;   -3.887;   65.961;-0.19719
 358.88;   -1.027;   -8.820;   66.407;10.35924
 359.48;   -4.559;  -11.654;   52.345;11.08644
 360.07;   -2.457;  -12.088;   59.923;13.37391
 360.67;    6.974;  -13.187;   52.052;30.90408
 361.26;   -9.891;   -8.188;   54.331;-2.72377
 361.86;   -4.661;  -12.686;   47.537;13.32485
 362.46;   -2.926;  -11.420;   55.569;12.68042
 363.05;   -8.394;   -7.020;   51.281;-2.35669
 363.65;   -6.654;   -9.623;   70.100; 3.72359
 364.24;   -5.660;   -9.420;   49.509; 6.37976
 364.84;   -1.823;   -8.688;   67.752; 8.98072
 365.43;   -6.391;  -11.221;   58.956; 6.88240
 366.03;   -4.358;   -1.787;   63.954;-3.91063
 366.62;   -1.060;   -4.820;   62.000; 5.62661
 367.22;   -5.025;   -5.021;   66.413;-0.00566
 367.81;   -2.991;   -9.521;   70.253; 8.18652
 368.41;   -4.358;   -9.188;   68.143; 6.24511
 369.00;   -0.326;  -19.587;   65.405;22.66240
 369.60;   -8.395;  -12.553;   69.761; 5.05169
 370.19;   -7.327;   -8.086;   68.162; 0.99544
 370.79;   -6.494;   -2.519;   77.160;-4.98883
 371.38;   -0.729;   -3.686;   61.223; 4.55523
 371.98;   -7.060;  -16.887;   82.696; 9.86843
 372.57;   -4.296;  -10.018;   69.378; 7.20702
 373.17;   -7.763;  -12.019;   78.697; 4.69132
 373.76;   -8.530;  -10.985;   63.956; 3.27504
 374.36;   -7.458;   -7.954;   87.414; 0.52086
 374.95;  -10.730;   -8.752;   66.366;-2.63379
 375.55;   -8.161;   -7.253;   77.737;-1.06914
 376.14;   -8.963;  -15.452;   70.494; 7.54942
 376.74;   -7.662;  -13.886;   78.935; 6.70531
 377.33;   -4.793;  -11.820;   83.945; 7.33851
 377.93;   -8.162;  -16.019;   76.625; 8.48133
 378.52;   -2.327;  -11.420;   80.857; 9.85349
 379.11;   -6.492;  -12.387;   80.525; 6.34451
 379.71;   -6.495;   -6.952;   75.483; 0.55424
 380.30;  -10.156;  -12.022;   97.750; 1.69966
 380.90;   -1.832;   -5.617;   80.628; 4.38877
 381.49;   -7.627;  -13.787;   98.971; 5.46269
 382.09;   -3.896;  -14.318;   87.708;10.21519
 382.68;   -0.858;   -8.455;   99.740; 7.02154
 383.28;   -6.227;  -15.320;   95.298; 8.21958
 383.87;   -9.092;  -13.154;  101.934; 3.52888
 384.46;    3.338;  -10.219;  103.524;11.91872
 385.06;   -8.591;  -12.954;  113.682; 3.44560
 385.65;   -6.998;   -6.985;  106.419;-0.01151
 386.25;   -4.956;  -11.422;  116.047; 5.07309
 386.84;  -12.794;   -4.520;  123.868;-6.44427
 387.44;   -0.561;   -6.219;  141.274; 3.83606
 388.03;  -14.294;   -7.753;  130.635;-4.72608
 388.62;   -0.291;  -14.555;  148.448; 8.75092
 389.22;   -7.963;   -8.719;  140.023; 0.50822
 389.81;   -1.390;  -12.555;  167.756; 6.19196
 390.41;   -3.959;  -12.254;  157.536; 4.88521
 391.00;   -9.126;  -11.187;  150.956; 1.27095
 391.59;   -3.658;   -5.421;  162.228; 1.05117
 392.19;  -14.691;  -14.321;  165.802;-0.20522
 392.78;   -6.061;  -11.086;  161.740; 2.90779
 393.38;   -5.960;  -19.820;  182.095; 6.86458
 393.97;   -2.927;  -11.120;  176.174; 4.37433
 394.56;   -9.993;   -8.854;  180.039;-0.60289
 395.16;   -5.464;  -12.918;  173.262; 4.00332
 395.75;    0.979;   -9.723;  190.992; 5.33200
 396.34;   -4.192;   -8.287;  189.470; 2.07092
 396.94;   -8.728;   -6.919;  185.421;-0.94014
 397.53;   -4.262;   -9.653;  201.319; 2.55531
 398.13;   -5.292;  -11.654;  200.124; 3.00387
 398.72;   -5.295;   -7.453;  206.983; 1.00622
 399.31;  -12.692;  -15.621;  233.944; 1.17346
 399.91;   -9.793;   -5.787;  225.344;-1.73340
 400.50;   -9.023;   -7.322;  244.912;-0.67462
 401.09;  -11.061;  -10.753;  235.996;-0.12468
 401.69;  -10.293;  -13.720;  254.139; 1.27972
 402.28;   -8.792;  -10.721;  255.626; 0.72424
 402.87;   -8.094;  -16.286;  273.414; 2.82772
 403.47;   -7.391;   -8.988;  278.323; 0.55596
 404.06;   -5.692;   -6.954;  288.151; 0.42754
 404.65;   -1.726;  -10.887;  283.636; 3.11054
 405.25;   -8.991;   -9.421;  310.614; 0.13463
 405.84;   -0.192;   -6.521;  303.423; 2.04174
 406.43;  -11.760;   -9.353;  322.695;-0.72484
 407.03;  -10.290;  -13.422;  332.779; 0.90460
 407.62;   -4.391;  -18.388;  345.733; 3.84407
 408.21;   -4.225;  -16.054;  345.361; 3.27295
 408.81;   -9.621;  -11.890;  363.262; 0.60474
 409.40;   -3.457;  -13.455;  373.081; 2.58645
 409.99;   -9.324;  -14.088;  396.165; 1.16118
 410.58;  -10.357;  -11.288;  405.929; 0.22322
 411.18;  -11.157;  -12.055;  429.193; 0.20353
 411.77;   -6.091;   -7.355;  448.293; 0.27739
 412.36;   -3.756;   -7.055;  474.596; 0.68489
 412.96;   -0.757;   -9.022;  480.340; 1.68897
 413.55;   -1.455;  -11.689;  512.696; 1.95157
 414.14;   -3.690;  -11.822;  509.261; 1.56048
 414.73;   -6.489;   -8.889;  566.146; 0.41722
 415.33;   -3.690;  -10.888;  530.868; 1.32861
 415.92;   -3.288;  -18.756;  585.669; 2.55921
 416.51;   -1.357;  -13.155;  575.242; 2.00505
 417.11;    0.177;   -7.455;  597.116; 1.26232
 417.70;    0.442;   -9.555;  598.238; 1.64480
 418.29;   -5.725;  -12.521;  614.551; 1.08374
 418.88;    2.512;   -5.523;  629.644; 1.26502
 419.48;    0.112;   -9.356;  662.983; 1.40813
 420.07;   -3.227;   -9.220;  643.343; 0.91835
 420.66;   -1.588;  -16.956;  686.169; 2.18563
 421.25;    2.344;  -11.655;  700.269; 1.96631
 421.85;    3.613;  -13.023;  744.118; 2.19727
 422.44;    6.212;   -9.423;  734.795; 2.10091
 423.03;    2.377;  -13.455;  753.436; 2.06454
 423.62;    8.011;  -13.006;  780.175; 2.64973
 424.21;   13.645;  -12.556;  806.881; 3.19751
 424.81;   16.111;   -1.822;  811.840; 2.20405
 425.40;   28.279;  -14.456;  879.821; 4.77878
 425.99;   30.874;  -11.120;  843.662; 4.91283
 426.58;   48.445;  -11.823;  929.560; 6.40206
 427.18;   62.341;   -7.120;  939.981; 7.33406
 427.77;   94.078;   -9.756;  975.163;10.54236
 428.36;  126.642;  -15.421;  992.155;14.09943
 428.95;  164.546;   -1.690; 1025.452;16.18436
 429.54;  225.278;  -17.356; 1084.041;22.02969
 430.14;  282.277;   -9.855; 1094.098;26.46244
 430.73;  350.478;  -10.689; 1112.628;32.15179
 431.32;  448.113;  -15.923; 1205.718;37.98468
