FES0800
Integration time [ms]:   2.000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1601059U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 380.90;    0.620;   17.116;  155.532;-11.91784
 381.49;    6.693;   -4.164;  179.065; 5.92536
 382.09;  -14.750;   10.542;  196.937;-13.56939
 382.68;    3.331;    5.974;  194.385;-1.40231
 383.28;   14.770;   10.457;  218.329; 2.07499
 383.87;    1.952;   -2.648;  246.259; 1.84817
 384.46;    0.492;    6.327;  253.505;-2.36049
 385.06;   -2.976;    0.944;  250.373;-1.57162
 385.65;    9.284;    9.488;  276.833;-0.07636
 386.25;    4.738;    9.330;  305.553;-1.55020
 386.84;    9.796;    8.609;  315.569; 0.38644
 387.44;   15.234;   -3.189;  340.172; 5.36563
 388.03;   12.296;    7.309;  360.369; 1.41229
 388.62;   26.853;   -0.039;  404.219; 6.65214
 389.22;   27.865;   -4.008;  406.662; 7.76123
 389.81;   38.274;    1.558;  420.752; 8.75870
 390.41;   41.750;    4.870;  457.956; 8.13989
 391.00;   46.633;   -3.462;  464.229;10.71124
 391.59;   44.786;    7.825;  497.112; 7.55401
 392.19;   52.635;   -4.362;  461.991;12.22185
 392.78;   55.763;   18.928;  516.618; 7.40127
 393.38;   78.629;    3.582;  519.522;14.54565
 393.97;   84.890;   16.862;  517.060;13.60016
 394.56;  113.948;   -4.804;  548.352;21.46801
 395.16;  110.576;    8.068;  590.120;17.61150
 395.75;  112.212;   -2.005;  567.672;20.04942
 396.34;   92.978;   -1.405;  570.000;16.51768
 396.94;  102.051;   -2.948;  598.498;17.45775
 397.53;  110.124;   14.108;  630.756;15.57068
 398.13;  149.160;   -4.428;  669.272;22.79769
 398.72;  185.126;   10.191;  701.259;25.31381
 399.31;  215.372;    5.057;  688.790;30.75976
 399.91;  199.715;   13.015;  716.200;26.55068
 400.50;  192.583;    7.769;  739.566;25.25474
 401.09;  155.372;   10.039;  738.732;19.94433
 401.69;  150.348;   -4.204;  743.052;20.68255
 402.28;  169.587;    8.607;  776.715;20.95804
 402.87;  206.957;    5.190;  804.008;25.25822
 403.47;  273.146;    8.032;  830.308;32.24148
 404.06;  340.866;    8.119;  840.980;39.95221
 404.65;  311.850;    3.670;  869.756;35.58314
 405.25;  317.953;   -4.739;  932.919;34.41466
 405.84;  231.461;    7.064;  921.373;24.54285
 406.43;  188.701;   -3.044;  937.678;20.38273
 407.03;  182.783;   12.569;  922.766;18.70072
 407.62;  207.237;   -0.680;  957.993;21.68793
 408.21;  285.886;   14.525;  982.512;28.03351
 408.81;  391.910;   -3.978; 1075.768;36.66489
 409.40;  471.753;   17.361; 1090.419;42.34551
 409.99;  537.439;   -8.097; 1107.296;48.90972
 410.58;  484.668;    3.811; 1119.743;43.09019
 411.18;  418.971;    0.484; 1148.748;36.44518
 411.77;  326.243;    8.459; 1122.603;28.52273
 412.36;  289.496;   -4.163; 1123.088;26.05095
 412.96;  307.987;   12.125; 1147.273;26.06374
 413.55;  363.453;    0.579; 1149.078;31.59548
 414.14;  459.870;    1.293; 1156.746;39.68806
 414.73;  624.211;   -8.405; 1257.111;49.98876
 415.33;  694.864;   20.855; 1195.136;57.39756
 415.92;  740.903;   -8.616; 1299.158;57.31261
 416.51;  604.857;    4.617; 1254.726;48.01504
 417.11;  490.280;    6.296; 1255.562;38.74148
 417.70;  410.533;   11.456; 1315.388;30.60569
 418.29;  388.494;   -2.055; 1295.725;30.09359
 418.88;  398.696;    4.355; 1220.246;32.43228
 419.48;  456.964;   -0.227; 1322.995;34.55132
 420.07;  574.188;   13.880; 1319.358;42.91979
 420.66;  750.975;    0.658; 1334.313;56.26021
 421.25;  883.891;    4.290; 1400.379;63.00464
 421.85;  956.346;    4.459; 1408.126;67.81431
 422.44;  904.210;   11.922; 1377.468;65.34293
 423.03;  812.519;   -6.085; 1376.623;59.20290
 423.62;  790.406;   -5.956; 1434.283;55.29376
 424.21;  768.293;   -5.819; 1491.942;51.68463
 424.81;  818.244;    1.168; 1499.463;54.53370
 425.40;  933.116;   -9.640; 1540.178;60.83011
 425.99; 1029.629;    7.882; 1554.922;66.04528
 426.58; 1186.783;   -0.613; 1684.525;70.46281
 427.18; 1129.241;   22.367; 1628.340;68.92228
 427.77;  958.052;   -7.812; 1611.176;59.65849
 428.36;  876.791;   14.472; 1689.520;51.48025
 428.95;  767.646;   -4.232; 1753.525;43.91264
 429.54;  689.771;    0.402; 1809.106;38.11395
 430.14;  671.223;   -7.629; 1734.131;38.97507
