
Integration time [ms]:   2.000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1601059U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 376.74;   43.365;   -8.750;   84.387;55.95518
 377.33;   47.701;   -5.412;   88.681;56.44768
 377.93;   48.315;   -8.150;   85.299;60.42267
 378.52;   47.499;   -4.014;   90.652;54.41568
 379.11;   46.134;   -2.412;   96.473;49.09354
 379.71;   38.739;   -8.284;   92.453;46.67928
 380.30;   42.002;  -12.973;  100.027;48.65006
 380.90;   49.376;   -6.290;   84.176;61.53238
 381.49;   48.365;   -0.714;  100.877;48.31054
 382.09;   47.907;   -2.852;   93.910;52.45718
 382.68;   48.048;  -10.742;  106.421;50.17767
 383.28;   50.353;    0.152;  109.368;45.96457
 383.87;   47.520;   -2.545;  114.024;42.94831
 384.46;   46.393;    1.749;  112.235;40.40664
 385.06;   46.333;   -6.009;  122.540;40.71772
 385.65;   51.206;  -10.587;  125.446;45.42558
 386.25;   49.197;   -1.072;  135.849;36.71423
 386.84;   53.771;  -11.880;  139.970;43.23407
 387.44;   57.313;  -10.216;  150.060;42.13258
 388.03;   57.037;   -9.380;  146.070;42.72602
 388.62;   62.325;   -7.708;  164.566;40.65222
 389.22;   62.671;   -6.785;  161.105;41.37021
 389.81;   73.067;   -4.474;  173.846;43.48433
 390.41;   67.249;   -0.312;  167.096;40.35723
 391.00;   74.148;   -5.212;  164.006;46.89797
 391.59;   67.921;   -7.577;  177.639;40.76209
 392.19;   70.855;   -9.476;  176.345;43.23008
 392.78;   79.205;   -3.981;  172.620;47.10396
 393.38;   76.339;   -3.646;  195.351;40.19378
 393.97;   78.393;    3.619;  191.084;39.88682
 394.56;   91.377;   -6.379;  203.869;46.49541
 395.16;   76.923;   -1.788;  182.433;42.72640
 395.75;   73.383;   -2.470;  213.891;35.05845
 396.34;   65.806;   -4.178;  214.791;31.96061
 396.94;   80.546;   -9.515;  220.352;39.17952
 397.53;   90.159;   -1.416;  231.819;39.26307
 398.13;   95.369;   -8.045;  241.737;41.40182
 398.72;  104.296;   -1.083;  247.481;42.39511
 399.31;  103.560;   -1.978;  262.107;39.96356
 399.91;   96.544;   -6.980;  266.419;37.86558
 400.50;   86.752;   -5.441;  281.190;32.16436
 401.09;   90.023;   -3.281;  280.497;32.87931
 401.69;   98.910;  -15.045;  303.603;35.76224
 402.28;  100.424;   -5.011;  313.668;33.08509
 402.87;  112.358;   -5.115;  325.869;35.49218
 403.47;  108.977;   -8.709;  339.784;33.76985
 404.06;  101.247;   -6.178;  338.890;31.13158
 404.65;   79.683;   -5.079;  359.329;23.25996
 405.25;   63.725;   -6.508;  374.199;18.44811
 405.84;   43.405;  -12.745;  388.168;14.00538
 406.43;   40.782;   -5.147;  386.556;11.72535
 407.03;   31.152;  -10.741;  427.256; 9.56465
 407.62;   36.525;   -9.076;  429.041;10.40840
 408.21;   32.354;   -5.577;  455.706; 8.22302
 408.81;   34.077;   -6.703;  477.164; 8.42804
 409.40;   36.358;   -3.508;  482.233; 8.20740
 409.99;   26.596;   -5.476;  511.270; 6.20638
 410.58;   30.789;   -4.441;  525.927; 6.64269
 411.18;   34.262;    0.259;  560.453; 6.06982
 411.77;   38.171;  -10.075;  569.991; 8.31747
 412.36;   33.213;   -6.974;  602.155; 6.59739
 412.96;   29.728;  -10.441;  615.112; 6.42130
 413.55;   34.428;   -9.638;  628.843; 6.90183
 414.14;   31.960;   -4.675;  625.255; 5.81561
 414.73;   22.976;   -9.873;  686.785; 4.71520
 415.33;   40.414;   -5.475;  659.905; 6.89656
 415.92;   36.565;   -7.837;  720.547; 6.09586
 416.51;   30.334;   -3.775;  712.521; 4.76186
 417.11;   31.747;   -4.574;  732.830; 4.92549
 417.70;   23.751;   -4.142;  738.250; 3.75727
 418.29;   26.237;   -2.877;  767.452; 3.77947
 418.88;   34.983;   -6.137;  784.999; 5.19761
 419.48;   32.517;   -4.471;  814.549; 4.51620
 420.07;   23.289;   -5.081;  806.655; 3.49497
 420.66;   29.374;   -0.138;  860.285; 3.42994
 421.25;   29.602;   -2.874;  879.369; 3.68105
 421.85;   28.153;   -9.435;  922.070; 4.03517
 422.44;   24.577;  -11.403;  922.064; 3.85450
 423.03;   32.225;   -6.173;  947.264; 4.02736
 423.62;   31.902;   -6.772;  975.534; 3.93708
 424.21;   31.578;   -7.370; 1003.773; 3.85189
 424.81;   32.277;   -1.039; 1014.599; 3.28026
 425.40;   35.057;   -7.203; 1108.548; 3.78757
 425.99;   35.105;   -0.746; 1070.184; 3.34766
 426.58;   35.856;   -8.637; 1164.400; 3.79298
 427.18;   27.296;   -7.212; 1167.888; 2.93659
 427.77;   28.227;   -6.105; 1231.279; 2.77455
 428.36;   30.898;   -9.011; 1254.825; 3.15776
 428.95;   27.617;  -11.502; 1273.139; 3.04516
 429.54;   29.632;   -3.604; 1342.130; 2.46975
 430.14;   29.201;   -9.773; 1354.586; 2.85658
 430.73;   28.540;   -2.673; 1354.246; 2.30027
 431.32;   26.319;   -7.369; 1476.136; 2.27083
 431.91;   33.987;   -3.743; 1417.989; 2.65378
 432.50;   29.471;   -3.468; 1491.047; 2.20401
 433.10;   28.363;   -5.033; 1501.398; 2.21690
 433.69;   34.411;   -2.207; 1508.124; 2.42451
 434.28;   32.008;    0.091; 1481.620; 2.15434
 434.87;   37.437;   -4.704; 1634.715; 2.57048
 435.46;   30.052;   -4.104; 1600.505; 2.12863
 436.05;   40.691;   -6.771; 1662.606; 2.84312
 436.65;   31.497;   -2.638; 1683.707; 2.02422
 437.24;   31.214;   -7.830; 1681.265; 2.31159
 437.83;   36.829;   -6.964; 1671.146; 2.60964
 438.42;   38.530;  -12.699; 1708.346; 2.97665
 439.01;   29.523;  -10.805; 1695.517; 2.36346
 439.60;   31.391;   -8.132; 1745.878; 2.25330
 440.19;   35.983;   -8.173; 1789.909; 2.45573
 440.79;   40.927;   -9.299; 1857.217; 2.69089
 441.38;   41.142;  -10.602; 1850.550; 2.78020
 441.97;   41.456;   -3.235; 1837.732; 2.42761
 442.56;   42.764;   -8.008; 1901.126; 2.65943
 443.15;   41.878;   -6.574; 1884.124; 2.56262
 443.74;   37.247;   -5.606; 1936.570; 2.20646
 444.33;   44.449;   -8.639; 1977.401; 2.67308
 444.93;   37.602;   -2.798; 1982.131; 2.03537
 445.52;   44.973;   -9.203; 2016.494; 2.67444
 446.11;   42.026;  -13.437; 2057.787; 2.67776
 446.70;   52.300;   -5.065; 2105.766; 2.71767
 447.29;   48.363;  -10.597; 2118.888; 2.76875
 447.88;   60.839;   -6.738; 2222.521; 3.03136
 448.47;   60.710;   -7.132; 2225.296; 3.03894
 449.06;   95.425;   -6.402; 2303.704; 4.40791
 449.65;  155.363;   -7.158; 2364.159; 6.85361
 450.24;  369.371;   -4.533; 2439.878;15.29629
 450.84;  748.821;   -1.105; 2431.611;30.82668
 451.43; 1133.999;   -5.269; 2466.228;46.09627
 452.02; 1383.593;  -13.859; 2555.006;54.39959
 452.61; 1450.723;   -6.035; 2530.590;57.42896
 453.20; 1517.428;  -11.368; 2642.725;57.60147
 453.79; 1521.593;   -5.699; 2795.142;54.52976
 454.38; 1338.714;  -11.036; 2825.651;47.58191
 454.97; 1073.433;   -6.727; 2910.132;37.03163
 455.56;  842.439;  -11.337; 2888.705;29.44010
 456.15;  736.500;   -9.165; 3075.391;24.17413
